,Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
39,2021-05-25,SHIB-USD,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,1415340765,-18.182,9.355676811147856e-06,1.075167594793103e-05,,,0.0,1.99999976757681e-06,6.428571006316426e-07,2.214285619369808e-06,0.2903225740203297,22.499999602096054,68.51851821831664,21.428570191163658,0.02275282636359226,0.01137641318179613,0.005688206590898065,False,0.0,,0,0.0,,
40,2021-05-26,SHIB-USD,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,994520516,11.111,9.677838279263305e-06,1.0601340707820574e-05,,,9.99999429041054e-07,0.0,7.142856312774321e-07,1.2857142662271923e-06,0.5555554994139065,35.71428339414605,68.51851821831664,21.428570191163658,0.3033707574861831,0.16306179192488768,0.08153089596244384,False,0.0,,0,0.0,,
41,2021-05-27,SHIB-USD,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,679602960,-10.0,9.338919298800501e-06,1.0281072629923999e-05,,,0.0,9.99999429041054e-07,4.999999743761561e-07,1.357142796872982e-06,0.36842105011220294,26.923076788536278,65.45454437968809,21.428570191163658,0.1248014768246693,0.2140861171554262,0.11273126516861116,False,0.0,,0,0.0,,
42,2021-05-28,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,690703669,-11.111,8.66945963930122e-06,9.824858099899587e-06,,,0.0,1.0000003385357559e-06,4.999999743761561e-07,1.2857142012632851e-06,0.38888889450305403,28.00000029103832,63.3333336491301,21.428570191163658,0.15681821247997949,0.14080984465232438,0.15193581828860603,False,0.0,,0,0.0,,
43,2021-05-29,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,502184994,0.0,8.334729809551581e-06,9.459886475880058e-06,,,0.0,0.0,4.999999743761561e-07,1.0714285443620092e-06,0.4666666545400703,31.818181254445406,63.3333336491301,21.428570191163658,0.2479338911840725,0.202376051832026,0.2082310844937261,False,0.0,,0,0.0,,
44,2021-05-30,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,440967883,0.0,8.167364894676762e-06,9.167909176664436e-06,,,0.0,0.0,3.571427831567624e-07,1.0714285443620092e-06,0.3333332727003516,24.999996589394627,61.2903222494036,21.428570191163658,0.08959531916743003,0.16876460517575126,0.15478722491403782,False,0.0,,0,0.0,,
45,2021-05-31,SHIB-USD,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,910298126,12.5,8.58368260650723e-06,9.134327404999089e-06,,,1.0000003385357559e-06,0.0,4.2857137876645926e-07,9.285713531426154e-07,0.46153844539358385,31.578946612608206,61.2903222494036,21.428570191163658,0.2546394951886299,0.17211740717802995,0.18724672950502796,False,0.0,,0,0.0,,
46,2021-06-01,SHIB-USD,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,795576484,0.0,8.791841462422464e-06,9.10746198766681e-06,,,0.0,0.0,4.2857137876645926e-07,9.285713531426154e-07,0.46153844539358385,31.578946612608206,55.71428547763148,21.428570191163658,0.29605263698409073,0.2753460660863603,0.22205533563105578,False,0.0,,0,0.0,,
47,2021-06-02,SHIB-USD,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,1190841704,0.0,8.89592089038008e-06,9.085969653800987e-06,,,0.0,0.0,4.2857137876645926e-07,4.2857137876645926e-07,1.0,50.0,55.71428547763148,21.428570191163658,0.8333333451005224,0.5646929910423065,0.3684051991101682,False,0.0,,0,0.0,,
48,2021-06-03,SHIB-USD,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,841784028,11.111,9.447960318879416e-06,9.26877567251654e-06,,,9.99999429041054e-07,0.0,4.2857137876645926e-07,4.2857137876645926e-07,1.0,50.0,53.52112665231168,21.428570191163658,0.8902821388949044,0.8618077419977134,0.5685769040420369,False,0.0,,0,0.0,,
